citing_doc,cited_doc,cite_year
135,653,2019
150,219,2006
150,277,2006
150,679,2006
150,680,2006
150,681,2006
152,219,2006
152,221,2006
152,227,2006
152,746,2006
74,219,2006
74,221,2006
74,227,2006
74,228,2006
65,219,2007
189,219,2014
50,219,2010
126,219,2007
297,219,2019
33,309,2007
181,742,2019
181,759,2019
166,417,2009
166,30,2009
266,438,2014
102,587,2014
102,588,2014
51,367,2014
239,773,2018
239,774,2018
158,695,2018
148,629,2012
262,355,2013
262,224,2013
262,514,2013
262,515,2013
262,321,2013
250,336,2010
250,322,2010
250,687,2010
250,327,2010
201,355,2009
306,87,2012
306,619,2012
306,454,2012
104,277,2013
104,745,2013
260,277,2016
243,277,2008
195,277,2015
138,619,2015
138,624,2015
138,278,2015
245,619,2020
8,278,2013
284,278,2007
284,407,2007
284,277,2007
284,731,2007
284,406,2007
142,332,2009
142,68,2009
142,698,2009
142,649,2009
142,697,2009
142,733,2009
142,734,2009
142,594,2009
236,771,2018
83,244,2019
83,221,2019
83,227,2019
54,470,2014
54,172,2014
174,623,2018
231,474,2018
185,713,2015
185,479,2015
185,707,2015
185,709,2015
185,724,2015
185,501,2015
41,374,2010
82,244,2016
177,618,2013
177,167,2013
115,332,2005
232,167,2019
232,751,2019
232,719,2019
232,770,2019
232,489,2019
55,10,2020
280,721,2018
108,26,2009
210,626,2009
193,635,2018
18,329,2018
256,520,2009
256,745,2009
256,726,2009
256,564,2009
49,277,2015
118,639,2010
118,532,2010
3,212,2005
27,380,2006
96,648,2019
147,700,2010
298,652,2006
298,574,2006
298,575,2006
153,543,2011
153,542,2011
153,544,2011
153,41,2011
294,664,2014
294,693,2014
294,337,2014
294,752,2014
294,753,2014
294,754,2014
294,755,2014
294,425,2014
294,426,2014
294,427,2014
294,428,2014
294,429,2014
294,430,2014
294,431,2014
294,432,2014
294,433,2014
294,435,2014
229,228,2004
220,335,2018
220,745,2018
220,743,2018
220,744,2018
299,682,2005
299,326,2005
217,484,2020
251,685,2020
251,398,2020
251,399,2020
282,688,2018
120,331,2004
66,724,2018
66,788,2018
253,699,2013
186,480,2007
25,725,2007
62,696,2011
62,590,2011
248,704,2012
56,782,2006
200,762,2019
173,784,2009
173,530,2009
173,531,2009
53,438,2010
10,438,2016
10,565,2016
160,572,2007
78,437,2002
57,452,2005
141,453,2006
247,462,2012
223,488,2019
267,492,2018
287,509,2014
293,510,2014
188,517,2010
188,518,2010
129,528,2003
20,535,2013
20,536,2013
12,545,2010
159,558,2011
154,559,2010
98,563,2007
79,566,2020
80,567,2013
124,581,2008
207,378,2006
261,396,2011
261,397,2011
