citing_author,cited_author,cite_year
391,343,2018
496,343,2018
221,641,2018
468,641,2018
718,641,2018
391,641,2018
496,641,2018
221,491,2018
468,491,2018
718,491,2018
391,491,2018
496,491,2018
221,628,2018
468,628,2018
718,628,2018
391,628,2018
496,628,2018
221,678,2018
468,678,2018
718,678,2018
391,678,2018
496,678,2018
221,291,2018
468,291,2018
718,291,2018
391,291,2018
496,291,2018
221,752,2018
468,752,2018
718,752,2018
391,752,2018
496,752,2018
221,208,2018
468,208,2018
718,208,2018
391,208,2018
496,208,2018
221,750,2018
468,750,2018
718,750,2018
391,750,2018
496,750,2018
221,460,2018
468,460,2018
718,460,2018
391,460,2018
496,460,2018
221,422,2018
468,422,2018
718,422,2018
391,422,2018
496,422,2018
221,462,2018
468,462,2018
718,462,2018
391,462,2018
496,462,2018
589,343,2014
376,343,2014
589,678,2014
376,678,2014
589,122,2014
376,122,2014
589,707,2014
376,707,2014
589,161,2014
376,161,2014
589,446,2014
376,446,2014
589,68,2014
376,68,2014
589,205,2014
376,205,2014
589,49,2014
376,49,2014
589,665,2014
376,665,2014
589,70,2014
376,70,2014
377,343,2013
377,682,2013
377,699,2013
377,439,2013
377,64,2013
377,514,2013
377,744,2013
377,49,2013
377,122,2013
377,545,2013
377,534,2013
377,215,2013
377,377,2013
377,266,2013
377,161,2013
377,326,2013
377,455,2013
377,205,2013
377,440,2013
660,343,2019
426,343,2019
660,678,2019
426,678,2019
660,707,2019
426,707,2019
660,744,2019
426,744,2019
660,420,2019
426,420,2019
660,457,2019
426,457,2019
660,709,2019
426,709,2019
129,343,2019
351,343,2019
630,343,2019
261,343,2019
120,343,2019
129,439,2019
351,439,2019
630,439,2019
261,439,2019
120,439,2019
129,122,2019
351,122,2019
630,122,2019
261,122,2019
120,122,2019
129,682,2019
351,682,2019
630,682,2019
261,682,2019
120,682,2019
129,540,2019
351,540,2019
630,540,2019
261,540,2019
120,540,2019
640,343,2019
137,343,2019
421,343,2019
271,343,2019
640,161,2019
137,161,2019
421,161,2019
271,161,2019
640,10,2019
137,10,2019
421,10,2019
271,10,2019
640,250,2019
137,250,2019
421,250,2019
271,250,2019
640,231,2019
137,231,2019
421,231,2019
271,231,2019
640,641,2019
137,641,2019
421,641,2019
271,641,2019
640,707,2019
137,707,2019
421,707,2019
271,707,2019
640,744,2019
137,744,2019
421,744,2019
271,744,2019
640,682,2019
137,682,2019
421,682,2019
271,682,2019
640,68,2019
137,68,2019
421,68,2019
271,68,2019
417,343,2015
417,678,2015
417,744,2015
417,205,2015
417,49,2015
417,626,2015
417,254,2015
417,343,2017
354,343,2017
160,343,2017
354,666,2017
160,666,2017
417,744,2017
354,744,2017
160,744,2017
417,491,2017
354,491,2017
160,491,2017
417,364,2017
354,364,2017
160,364,2017
417,588,2017
354,588,2017
160,588,2017
417,635,2017
354,635,2017
160,635,2017
417,614,2017
354,614,2017
160,614,2017
417,33,2017
354,33,2017
160,33,2017
417,660,2017
354,660,2017
160,660,2017
417,363,2017
354,363,2017
160,363,2017
417,68,2017
354,68,2017
160,68,2017
417,626,2017
354,626,2017
160,626,2017
417,254,2017
354,254,2017
160,254,2017
564,343,2015
417,666,2015
564,666,2015
564,678,2015
417,707,2015
564,707,2015
564,254,2015
417,325,2015
564,325,2015
564,49,2015
168,343,2015
345,343,2015
168,678,2015
345,678,2015
168,545,2015
345,545,2015
168,593,2015
345,593,2015
168,122,2015
345,122,2015
168,614,2015
345,614,2015
168,33,2015
345,33,2015
168,744,2015
345,744,2015
168,55,2015
345,55,2015
168,52,2015
345,52,2015
168,68,2015
345,68,2015
168,282,2015
345,282,2015
